CITID;MarseilleID;ICA3SampleWeight;;;;
PDAC003T;1.03;-0,549430241675729;;;;
PDAC025T;2.042;-0,520874225579267;;;;
PDAC001T;1.008;-0,393659426496151;;;;
PDAC028T;2.063;-0,343356742173894;;;;
PDAC016T;S-IPC;-0,308837384607589;;;;
PDAC022T;1.069;-0,307042915790629;;;;
PDAC014T;1.052;-0,294742431897684;;;;
PDAC030T;3.076;-0,28972667173536;;;;
PDAC019T;1.064;-0,179832285871119;;;;
PDAC031T;3.096;-0,164984304656292;;;;
PDAC006T;I-NOR;-0,149334316000205;;;;
PDAC029T;3.043;-0,147896025623869;;;;
PDAC021T;AO-IPC;-0,094659867739821;;;;
PDAC012T;1.046;-0,0932844204630272;;;;
PDAC007T;L-NOR;-0,076791078950069;;;;
PDAC011T;D-IPC;-0,0559455399291763;;;;
PDAC032T;1.033;-0,0136021383570604;;;;
PDAC015T;1.053;0,000511049798169082;;;;
PDAC027T;2.058;0,0857710363492451;;;;
PDAC008T;N-NOR;0,144531290959484;;;;
PDAC018T;AD-IPC;0,152993121211445;;;;
PDAC026T;2.045;0,231467309070867;;;;
PDAC009T;2.029;0,38323597598943;;;;
PDAC013T;1.048;0,523441428885345;;;;
PDAC017T;1.054;0,602086775922093;;;;
PDAC020T;AM-IPC;0,625761529915577;;;;
PDAC024T;2.038;1,23420049944529;;;;